"id";"nombre";"variantes"
"82";"Downhill Ski Boots";"38,39,40,41,42,43,44"
"83";"Downhill Skis";"140cm,150cm,155cm,160cm,165cm,170cm,180cm"
"84";"Drums & Percussion";"Negro,Rojo,Azul,Madera,Blanco"
"85";"Electrical";"UNICA"
"86";"Electrical Power Accessories";"Negro,Blanco"
"87";"Electronic Toys";"UNICA"
"88";"Equestrian Sports Boots";"36,37,38,39,40,41"
"89";"External Optical Drives";"Negro,Plata,Blanco"
"90";"External Sound Cards";"Negro,Plata"
"91";"External TV Tuners & Video Capture Cards";"UNICA"
"92";"Film Cameras";"Negro,Plata,Dorado"
"93";"Fireplaces, Stoves & Accessories";"Negro,Gris,Plata,Blanco"
"94";"Flashes";"UNICA"
"95";"Fragrances";"UNICA"
"96";"Furniture & Lighting";"Blanco,Negro,Roble,Gris,Nogal"
"97";"GPS, Finders & Accessories";"Negro,Rojo,Azul"
"98";"Games & Game Accessories";"UNICA"
"99";"Garden Décor";"UNICA"
"100";"Garden Furniture & Accessories";"Negro,Gris,Marrón,Verde,Beige"
"101";"Garden Storage & Housing";"Verde,Gris,Marrón,Negro"
"102";"Garden Tools & Watering Equipment";"UNICA"
"103";"Gardening";"UNICA"
"104";"General Music-Making Accessories";"UNICA"
"105";"Gifts for Her";"UNICA"
"106";"Gifts for Him";"UNICA"
"107";"Girls";"4,6,8,10,12,14,16"
"108";"Golf Shoes";"40,41,42,43,44,45,46"
"109";"Graphics Cards";"UNICA"
"110";"Grocery";"UNICA"
"111";"Guitars & Gear";"Negro,Sunburst,Rojo,Azul,Natural,Blanco"
"112";"Hair Care";"UNICA"
"113";"Hallway Furniture";"Blanco,Negro,Roble,Gris"
"114";"Handmade";"UNICA"
"115";"Handmade Artwork";"UNICA"
"116";"Handmade Baby Products";"0-3M,3-6M,6-9M,9-12M,12-18M,18-24M"
"117";"Handmade Clothing, Shoes & Accessories";"XS,S,M,L,XL,XXL"
"118";"Handmade Gifts";"UNICA"
"119";"Handmade Home & Kitchen Products";"UNICA"
"120";"Handmade Home Décor";"UNICA"
"121";"Handmade Jewellery";"UNICA"
"122";"Handmade Kitchen & Dining";"UNICA"
"123";"Hard Drive Accessories";"UNICA"
"124";"Hardware";"UNICA"
"125";"Headphones & Earphones";"Negro,Blanco,Rojo,Azul,Rosa,Dorado,Plata"
"126";"Headphones, Earphones & Accessories";"Negro,Blanco,Rojo,Azul,Rosa,Dorado,Plata"
"127";"Health & Personal Care";"UNICA"
"128";"Heating, Cooling & Air Quality";"Negro,Blanco,Plata,Gris"
"129";"Hi-Fi & Home Audio Accessories";"Negro,Plata,Blanco"
"130";"Hi-Fi Receivers & Separates";"Negro,Plata,Blanco"
"131";"Hi-Fi Speakers";"Negro,Blanco,Gris,Rojo,Azul"
"132";"Hiking Hand & Foot Warmers";"S/M,L/XL"
"133";"Hobbies";"UNICA"
"134";"Hockey Shoes";"40,41,42,43,44,45,46"
"135";"Home Audio Record Players";"Negro,Blanco,Madera,Rojo"
"136";"Home Bar Furniture";"Negro,Blanco,Roble,Nogal"
"137";"Home Brewing & Wine Making";"UNICA"
"138";"Home Cinema, TV & Video";"Negro,Plata,Blanco"
"139";"Home Entertainment";"UNICA"
"140";"Home Entertainment Furniture";"Blanco,Negro,Roble,Gris"
"141";"Home Fragrance";"UNICA"
"142";"Home Office Furniture";"Blanco,Negro,Roble,Gris,Nogal"
"143";"Household Batteries, Chargers & Accessories";"UNICA"
"144";"Hydraulics, Pneumatics & Plumbing";"UNICA"
"145";"I/O Port Cards";"UNICA"
"146";"Indoor Lighting";"Blanco,Negro,Dorado,Plata,Gris,Crema"
"147";"Industrial Electrical";"UNICA"
"148";"Inflatable Beds, Pillows & Accessories";"UNICA"
"149";"Internal Optical Drives";"UNICA"
"150";"Internal TV Tuner & Video Capture Cards";"UNICA"
"151";"Ironing & Steamers";"Negro,Blanco,Azul,Gris"
"152";"Jigsaws & Puzzles";"UNICA"
"153";"KVM Switches";"UNICA"
"154";"Karaoke Equipment";"Negro,Plata,Rojo"
"155";"Keyboards, Mice & Input Devices";"Negro,Blanco,Gris,Plata"
"156";"Kids' Art & Craft Supplies";"UNICA"
"157";"Kids' Dress Up & Pretend Play";"4,6,8,10,12,14"
"158";"Kids' Play Figures";"UNICA"
"159";"Kids' Play Vehicles";"UNICA"
"160";"Kitchen & Bath Fixtures";"Cromo,Negro,Oro,Níquel,Blanco"
"161";"Kitchen Linen";"Blanco,Gris,Azul,Verde,Rosa,Rojo,Negro"
"162";"Kitchen Storage & Organisation";"Blanco,Negro,Gris,Transparente,Bambú"
"163";"Kitchen Tools & Gadgets";"Negro,Plata,Rojo,Azul,Verde"
"164";"Lab & Scientific Products";"UNICA"
"165";"Laptop Accessories";"Negro,Plata,Gris,Rojo,Azul"
"166";"Laptops";"Negro,Plata,Gris,Dorado,Azul"
"167";"Large Appliances";"Negro,Blanco,Plata,Gris,Inox"
"168";"Learning & Education Toys";"UNICA"
"169";"Lenses";"UNICA"
"170";"Light Bulbs";"Blanco cálido,Blanco neutro,Blanco frío,Luz de día"
"171";"Lighting";"Negro,Blanco,Dorado,Plata,Gris,Crema"
"172";"Lights and switches";"Negro,Blanco,Gris,Cromo,Dorado"
"173";"Living Room Furniture";"Blanco,Negro,Gris,Beige,Roble,Nogal"
"174";"Luggage and travel gear";"Negro,Azul,Rojo,Gris,Verde,Rosa,Morado"
"175";"Luxury Food & Drink";"UNICA"
"176";"Made in Italy Handmade";"UNICA"
"177";"Make-up";"UNICA"
"178";"Manicure & Pedicure Products";"UNICA"
"179";"Material Handling Products";"UNICA"
"180";"Mattress Pads & Toppers";"90x200,105x200,135x190,150x200,160x200,180x200,200x200"
"181";"Media Streaming Devices";"Negro,Blanco,Plata"
"182";"Men";"XS,S,M,L,XL,XXL"
"183";"Men's Sports & Outdoor Shoes";"40,41,42,43,44,45,46"
"184";"Microphones";"Negro,Plata,Rojo,Blanco"
"185";"Mirrors";"Negro,Blanco,Dorado,Plata,Madera,Gris"
"186";"Mobile Phone Accessories";"Negro,Blanco,Transparente,Rosa,Azul,Rojo,Verde"
"187";"Mobile Phones & Communication";"Negro,Blanco,Azul,Rojo,Verde,Dorado,Morado"
"188";"Mobile Phones & Smartphones";"Negro,Blanco,Azul,Rojo,Verde,Dorado,Morado"
"189";"Monitor Accessories";"Negro,Plata,Blanco"
"190";"Monitors";"Negro,Plata,Blanco"
"191";"Motherboards";"UNICA"
"192";"Motorbike Accessories";"Negro,Plata,Rojo"
"193";"Motorbike Batteries";"UNICA"
"194";"Motorbike Boots & Luggage";"40,41,42,43,44,45,46"
"195";"Motorbike Brakes";"UNICA"
"196";"Motorbike Chassis";"UNICA"
"197";"Motorbike Clothing";"XS,S,M,L,XL,XXL"
"198";"Motorbike Drive & Gears";"UNICA"
"199";"Motorbike Electrical & Batteries";"UNICA"
"200";"Motorbike Engines & Engine Parts";"UNICA"
"201";"Motorbike Exhaust & Exhaust Systems";"UNICA"
"202";"Motorbike Handlebars, Controls & Grips";"UNICA"
"203";"Motorbike Instruments";"UNICA"
"204";"Motorbike Lighting";"UNICA"
"205";"Motorbike Seat Covers";"Negro,Marrón"
"206";"Mowers & Outdoor Power Tools";"UNICA"
"207";"Network Cards";"UNICA"
"208";"Networking Devices";"Negro,Blanco,Gris"
"209";"Office Electronics";"Negro,Plata,Blanco"
"210";"Office Paper Products";"UNICA"
"211";"Office Supplies";"UNICA"
"212";"Outdoor Cooking";"Negro,Plata,Gris,Rojo"
"213";"Outdoor Heaters & Fire Pits";"Negro,Plata,Gris"
"214";"Outdoor Lighting";"Negro,Blanco,Gris,Plata,Dorado"
"215";"Outdoor Rope Lights";"Blanco cálido,Multicolor,Azul,Verde,Rojo"
"216";"PA & Stage";"UNICA"
"217";"PC & Video Games";"UNICA"
"218";"PC Gaming Accessories";"Negro,Blanco,Rojo,Azul"
"219";"Packaging & Shipping Supplies";"UNICA"
"220";"Painting Supplies, Tools & Wall Treatments";"UNICA"
"221";"Pens, Pencils & Writing Supplies";"Negro,Azul,Rojo,Verde,Multicolor"
"222";"Pet Supplies";"UNICA"
"223";"Photo Frames";"Negro,Blanco,Plata,Madera,Dorado"
"224";"Photo Printers";"Negro,Blanco,Plata"
"225";"Piano & Keyboard";"Negro,Blanco,Madera"
"226";"Plants, Seeds & Bulbs";"UNICA"
"227";"Plugs";"Negro,Blanco"
"228";"Pools, Hot Tubs & Supplies";"Azul,Gris,Blanco"
"229";"Portable Sound & Video Products";"Negro,Blanco,Rojo,Azul,Verde"
"230";"Power & Hand Tools";"UNICA"
"231";"Power Supplies";"Negro,Plata"
"232";"Printer Accessories";"Negro,Plata"
"233";"Printers & Accessories";"Negro,Blanco,Plata,Gris"
"234";"Professional Education Supplies";"UNICA"
"235";"Professional Medical Supplies";"UNICA"
"236";"Projectors";"Negro,Blanco,Plata"
"237";"Radio Communication";"Negro,Plata"
"238";"Radios & Boomboxes";"Negro,Plata,Blanco,Rojo"
"239";"Recording & Computer";"Negro,Plata"
"240";"Remote & App-Controlled Devices";"Negro,Blanco,Rojo,Azul"
"241";"Rough Plumbing";"UNICA"
"242";"Rugs, Pads & Protectors";"Gris,Azul,Verde,Beige,Negro,Crema,Rosa,Rojo"
"243";"SIM Cards";"UNICA"
"244";"Safety & Security";"Negro,Blanco,Gris"
"245";"Scanners & Accessories";"Negro,Blanco,Plata"
"246";"School & Educational Supplies";"UNICA"
"247";"Signs & Plaques";"Negro,Blanco,Plata,Dorado,Madera"
"248";"Ski Clothing";"XS,S,M,L,XL,XXL"
"249";"Ski Goggles";"Negro,Azul,Rojo,Naranja,Amarillo,Blanco"
"250";"Ski Helmets";"XS,S,M,L,XL"
"251";"Skiing Poles";"105cm,110cm,115cm,120cm,125cm,130cm"
"252";"Skin Care";"UNICA"
"253";"Slipcovers";"Gris,Azul,Beige,Negro,Verde,Crema"
"254";"Small Kitchen Appliances";"Negro,Plata,Blanco,Rojo"
"255";"Smart Home Security & Lighting";"Negro,Blanco,Gris"
"256";"Smart Speakers";"Negro,Blanco,Gris,Azul,Rosa,Rojo"
"257";"Smartwatches";"Negro,Plata,Dorado,Rosa,Azul"
"258";"Snow Sledding Equipment";"UNICA"
"259";"Snowboard Bindings";"XS,S,M,L,XL"
"260";"Snowboard Boots";"38,39,40,41,42,43,44"
"261";"Snowboards";"140cm,145cm,150cm,155cm,160cm,165cm"
"262";"Soft Toys";"UNICA"
"263";"Sports & Outdoors";"UNICA"
"264";"Sports Supplements";"UNICA"
"265";"Sports Toys & Outdoor";"UNICA"
"266";"Storage & Home Organisation";"Blanco,Negro,Gris,Transparente,Bambú"
"267";"Storage & Organisation";"Blanco,Negro,Gris,Transparente"
"268";"Streaming Clients";"Negro,Blanco,Plata"
"269";"String Instruments";"Negro,Natural,Sunburst,Rojo,Azul"
"270";"String Lights";"Blanco cálido,Multicolor,Azul,Verde,Rojo,Blanco frío"
"271";"Surveillance Cameras";"Negro,Blanco"
"272";"Synthesisers, Samplers & Digital Instruments";"Negro,Blanco"
"273";"Table Tennis";"UNICA"
"274";"Tablet Accessories";"Negro,Transparente,Azul,Rosa,Rojo"
"275";"Tablets";"Negro,Plata,Dorado,Gris,Azul"
"276";"Tableware";"Blanco,Negro,Azul,Verde,Gris,Beige,Rosa"
"277";"Telephones, VoIP & Accessories";"Negro,Blanco,Plata,Gris"
"278";"Tennis Shoes";"38,39,40,41,42,43,44"
"279";"Test & Measurement";"UNICA"
"280";"Thermometers & Meteorological Instruments";"UNICA"
"281";"Torches";"Negro,Plata,Amarillo,Rojo"
"282";"Toy Advent Calendars";"UNICA"
"283";"Trampolines & Accessories";"Negro,Azul,Verde,Rojo"
"284";"Tripods & Monopods";"Negro,Plata"
"285";"USB Gadgets";"Negro,Blanco,Rojo,Azul,Verde"
"286";"USB Hubs";"Negro,Plata,Blanco,Gris"
"287";"Uninterruptible Power Supply Units & Accessories";"UNICA"
"288";"Vacuums & Floorcare";"Negro,Rojo,Azul,Gris,Blanco,Verde"
"289";"Vases";"Blanco,Negro,Transparente,Dorado,Azul,Verde,Rosa"
"290";"Water Coolers, Filters & Cartridges";"Negro,Blanco,Plata"
"291";"Wearable Technology";"Negro,Plata,Dorado,Rosa,Azul,Blanco"
"292";"Wind Instruments";"Plata,Dorado,Negro"
"293";"Window Treatments";"Blanco,Gris,Beige,Negro,Crema,Azul,Verde"
"294";"Women";"XS,S,M,L,XL,XXL"
"295";"Women's Sports & Outdoor Shoes";"36,37,38,39,40,41"
"296";"eBook Readers & Accessories";"Negro,Blanco,Azul,Verde"
